id,title,contentId,top_1,sim_1,top_2,sim_2,top_3,sim_3,top_4,sim_4,top_5,sim_5
10,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,-9157338616628196758,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,0.5112613706986348,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.40954622789128853,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",0.40746503805177575,"SINAIS do FUTURO imediato: #1, internet das coisas",0.4070027627256898,A saga do jovem CEO da Dasa,0.3979421144450259
11,Setting Up HTTP(S) Load Balancing,1805789466376069146,Introducing the new Google Cloud Load Balancing UI,0.5673052343791148,Setting Up SSL proxy for Google Cloud Load Balancing,0.46115316286293506,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,0.36822943537933195,Implementing HTTP/2 in Production Environments,0.35716619973675906,How HTTP/2 is Changing Web Performance Best Practices,0.35506664720307607
12,Setting Up SSL proxy for Google Cloud Load Balancing,-2081760549863309770,Setting Up HTTP(S) Load Balancing,0.46115316286293506,Introducing the new Google Cloud Load Balancing UI,0.3104881169248339,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),0.2733715992852943,Google Cloud Platform for AWS Professionals,0.20487542057590358,BrowserLab: Automated regression detection for the web,0.1557258581393415
13,NTT to buy Dell's services division for $3.05 billion,-5170198873410718233,Empresas de tecnologia preparam mais demissões após cortes na Cisco,0.12851765341751367,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,0.09808058025904205,Google's Cloud Investments are Finally Starting to Pay Off,0.08913401800238502,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",0.06686618572319543,What's next for China's booming fintech sector?,0.06659564455255751
14,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",-3367778232969996503,Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,0.1962074902268135,Serious Business: Is The Sharing Economy Good For Business?,0.17071983301346147,The economic essentials of digital strategy,0.17039187646907766,Automation and anxiety,0.17030231901164825,The Conversational Economy Part 1: What's Causing the Bot Craze?,0.16952822641655044
15,The internet of a billion things | ET CIO,4988225165850707692,Will IIoT bolster industrial automation investments? - ReadWrite,0.3322358748414434,Will blockchain drive the fourth Industrial Revolution?,0.23460035134910345,The Internet of Things,0.19454377581216353,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,0.183231927937936,GE Digital snags ServiceMax for $915 million,0.151113910795938
16,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,-5917314377186856799,Rede Agricultura de Precisão II,0.5248406115126757,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.2933758038904395,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.2801389002773685,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,0.2432272066843525,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.23978326835259842
17,Rede Agricultura de Precisão II,6157037646878010131,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,0.5248406115126757,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.45805577812417236,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.4566748066170783,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.44461186804972935,MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,0.4022860760411908
18,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,6023609667389715259,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,0.37491659562974633,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment",0.35655892936911504,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.31514325551801026,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.31514325551801026,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.2998658147191672
19,Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,7905485530310717815,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.21002443039169919,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.21002443039169919,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.21002443039169919,From fine wine to lotteries: Blockchain tech takes off - BBC News,0.2065690282327357,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.17500265562048023
20,Using Gamified Hacking Challenges To Attract New Blockchain Developers,8194079557551008273,Are you a bitcoin denialist? - Chris Skinner's blog,0.2601575312946356,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.24662311896081068,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.239283768150962,Blockchain CEO's Business Advice on Bitcoin Startups,0.23785984806637822,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.23519259153874678
21,O potencial do bitcoin na América Latina,-1672166631728511207,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",0.33319369799272547,Black Friday salva o ano do e-commerce,0.3290469518204924,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.3235933076052131,Por que o Walmart não é Walmart no Brasil,0.32228076476855816,"Carros de luxo em alta, mas o alerta está aceso",0.3204680331322489
22,From fine wine to lotteries: Blockchain tech takes off - BBC News,-4374331682165863764,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4500958576412346,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4500958576412346,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4500958576412346,Decentralizing IoT networks through blockchain,0.35428889408695696,The Blockchain is the new Google,0.3425100670567009
23,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,5714314286511882372,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",0.20951634338954983,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",0.17499998635628722,Economia Colaborativa: a tendência que está mudando o mercado,0.17039666060456543,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,0.16680307786897217,Olhando para o futuro: 5 pontos de atenção,0.16258440351977663
24,Pimp My Pitch: como fazer um Pitch poderoso,-8141818108252244664,[Books] Biblioteca FIXE: Sugestões de Leitura,0.2858399473133607,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.28260019695831345,Séries com lições sobre empreendedorismo: As 7 melhores!,0.2804117264247343,Vídeos motivacionais: os 21 vídeos mais incríveis.,0.27510657839209074,Dicas para aumentar produtividade: 14 dicas incríveis.,0.26137364630982945
25,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,-8939172344092554931,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,0.6714472506063605,What DeepMind brings to Alphabet,0.2327630547433512,Failing model: Plastic Card + App and Card + Wallet Players?,0.2121785448411386,Google's new NHS deal is start of machine learning marketplace,0.20150904220152668,Mark A Trello Card As Done (And Drop The Mic On That Task),0.19465243025374482
26,How OKCupid Changed Hiring Forever.,-1591454024897803197,Doing Data Science Right - Your Most Common Questions Answered,0.19998405406189307,The new tech talent you need to succeed in digital,0.17881200759408514,What makes a good (Android) Software Engineer,0.17379221972879824,Lessons from Becoming a Data-Driven Organization,0.1724988870997975,Digital Leadership Is Not an Optional Part of Being a CEO,0.16090003910978803
27,The Hierarchy of Engagement - Greylock Perspectives,-6874540813378776198,3 Pillars of the Most Successful Tech Products,0.21154381670782882,Organizing for digital acceleration: Making a two-speed IT operating model work,0.16169288801066337,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,0.16070483318811904,State of the Digital Nation 2016,0.15746142548155875,NOW NEW NEXT: How growth champions create new value,0.15408596520133583
28,Welcome Google Cloud Platform!,-3173020603774823976,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,0.68299009885383,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,0.6737152722198744,World's Fastest Growing Open Source Platform Pushes Out New Release,0.6733158222805112,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,0.530067744688505,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",0.5038906341994287
29,Hopper raises $16 million for a travel app that tells you the best time to fly,-9107331682787867601,"A sneak peek at Google's upcoming travel app, Trips",0.16945831156903138,Bots won't replace apps. Better apps will replace apps.,0.13818237114788476,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",0.1361940896650579,Everything you need to know about the big changes coming to Newark airport,0.12859517186444977,3 Pillars of the Most Successful Tech Products,0.1283346179421712
30,Indústria 4.0: desafios e oportunidades,-1021685224930603833,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,0.2458683385441978,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,0.24351724304946246,"SINAIS do FUTURO imediato: #1, internet das coisas",0.2359150040048058,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.22882154891301618,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,0.22792816125769014
31,MedStar Washington Potentially Affected By Bitcoin Ransomware,1392715980907132808,Are you a bitcoin denialist? - Chris Skinner's blog,0.15903311461013556,IBM's Watson aims to make hospital stays suck a whole lot less,0.15689738984753238,Blockchain CEO's Business Advice on Bitcoin Startups,0.15016796250331493,French Senate Will Debate on Bitcoin Regulation,0.11726200304438036,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.11631680322182339
32,CoinFest 2016: Uniting the World's Bitcoiners,-6142462826726347616,Blockchain CEO's Business Advice on Bitcoin Startups,0.2736776389158972,Are you a bitcoin denialist? - Chris Skinner's blog,0.265929738428543,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.22296943257743607,French Senate Will Debate on Bitcoin Regulation,0.21836082122597464,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,0.20997236098127475
33,French Senate Will Debate on Bitcoin Regulation,2255603060224026824,Are you a bitcoin denialist? - Chris Skinner's blog,0.40647018928471773,Blockchain CEO's Business Advice on Bitcoin Startups,0.390721962312518,Governments vs Bitcoin: A Fight For Control,0.3612143683695005,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.3242571252812293,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.3129333187497825
34,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,3037840448416371691,Are you a bitcoin denialist? - Chris Skinner's blog,0.2826021352707361,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,0.22906050483679294,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.22826971703461074,Blockchain CEO's Business Advice on Bitcoin Startups,0.22479861694264586,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.21380558551653145
35,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,7767869406844505704,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",0.280125173578735,The new-world insurance agent,0.27897346120140154,German insurance startup Clark closes €13.2M Series A,0.27157415232000315,The insurance tech equation,0.24647635053035064,How Blockchain Technology Can Improve the Insurance Industry,0.21404208757774387
36,Enable the new Google Contacts for your users from the Admin console,-7202774608580336956,Dial in with ease using the latest Google Calendar app for Android,0.26782261186738726,New settings for 2-Step Verification,0.2228277401636748,Introducing Casting into Hangouts,0.21108199253581658,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,0.2093449144674319,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,0.20784474725964916
37,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,5822211783543822544,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",0.2688439798001332,Introducing Ask a Female Engineer,0.1971265454631031,Workplace diversity in Brazil: there's still a long way to go,0.15962976408341187,"In war for talent, 'brogrammers' will be losers",0.1503782899527552,Ahead of the curve: The future of performance management,0.12849537562636354
38,Staying one step ahead at Pixar: An interview with Ed Catmull,6152652267138213180,So long MVP. Hello Minimum Loveable Product.,0.2131412835441483,Seniority,0.2033812706380581,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,0.19898276711286075,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",0.19358600340976,Linux at 25: Q&A With Linus Torvalds,0.18546593387309795
39,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",9032993320407723266,Today in Apple history: Steve Jobs passes away | Cult of Mac,0.20381327199525004,Today in Apple history: Steve Jobs passes away,0.20381327199525004,Today in Apple history: Steve Jobs passes away | Cult of Mac,0.20381327199525004,Today in Apple history: Steve Jobs resigns as Apple CEO,0.16513129787593153,"Smart Managers Don't Compare People to the ""Average""",0.15416097975113655
40,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,7520301770873472812,Honda: mulheres já respondem por 50% das vendas via consórcio,0.2430866779053531,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,0.20317835995817646,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,0.19599452146739454,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,0.19317158781185345,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,0.19291622998126462
41,Robots are coming for your job,-5715266554592745669,Automation and anxiety,0.24956383971840107,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,0.18808357160175104,The return of the machinery question,0.1717467860090753,AI Revolution 101 - AI Revolution,0.16891809355726664,How Robots Can Acquire New Skills from Their Shared Experience,0.16798288013082888
42,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,8545647269051113523,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,0.6714472506063605,What DeepMind brings to Alphabet,0.20445346338243592,Failing model: Plastic Card + App and Card + Wallet Players?,0.20152071065179297,The End Of Apps As We Know Them - Inside Intercom,0.18591133234165977,Google's new NHS deal is start of machine learning marketplace,0.1818553551972894
43,Bayesian machine learning,668505019835540303,How to choose algorithms for Microsoft Azure Machine Learning,0.2656547712701946,Generative Models,0.24434979513015445,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.2324284577215674,Ultimate AI battle - Apple vs. Google,0.23175168643158203,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,0.21723185002695763
44,"As Microsoft US's AI chatbot turns racist troll, Japan's won't shut up about anime and hay fever",-6727393385193911938,Clippy's Back: The Future of Microsoft Is Chatbots,0.27101333132950595,"So your AI bot went haywire, should you care?",0.1751403023247826,"Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app",0.17314945043259145,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,0.16355505396625813,Japanese for dummies,0.13673975291709226
45,Linux at 25: Q&A With Linus Torvalds,7351002593233940239,Windows Subsystem for Linux Overview,0.3048458820153057,The Best Linux Distros of 2016,0.30457157586436545,Visual C++ for Linux Development,0.29019654741665873,Microsoft's Open Source Love Affair Reaches New Heights,0.2576069559951163,Good Software Takes Ten Years. Get Used To it.,0.23825685223404267
46,DARPA Wants to Give Radio Waves AI to Stretch Bandwidth,1083474613819325601,Machine Learning for Designers,0.15556318246297793,Clarifying the uses of artificial intelligence in the enterprise,0.15504267828195922,How real businesses are using machine learning,0.1509357559755684,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.14530467754741672,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",0.14217229957214284
47,"So your AI bot went haywire, should you care?",-4994468824009200256,Here's how The White House wants the U.S. to approach AI R&D,0.24158656216036728,Clippy's Back: The Future of Microsoft Is Chatbots,0.2322548855473948,Andrew Ng: What AI Can and Can't Do,0.22831071636322153,Artificial intelligence is hard to see,0.22756184517261047,Deep learning will be huge - and here's who will dominate it,0.1884403643663395
48,Machine Learning as a Service: How Data Science Is Hitting the Masses,-4571929941432664145,IBM wants to bring machine learning to the mainframe,0.3560136820202236,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.3547332270860603,How real businesses are using machine learning,0.3360219424126726,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.33518880919210725,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.33291686929595415
49,Innovate Finance Allows Bitfury to Join With Bitcoin,5441215535748592870,Banks Need To Collaborate With Bitcoin and Fintech Developers,0.2857342477941089,Blockchain CEO's Business Advice on Bitcoin Startups,0.26827579316272027,Are you a bitcoin denialist? - Chris Skinner's blog,0.2647743501545361,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,0.26019237937206297,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.23884037793254645
50,Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk,7359520440231676934,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,0.32648858806172304,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",0.2777695358003602,Blockchain won't kill banks: Bitcoin pioneer,0.23725240413343213,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.23103321873392674,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.22311170601969857
51,The economic essentials of digital strategy,4774970687540378081,Making digital strategy a reality in insurance,0.35466183347136,Five priorities for competing in an era of digital globalization,0.32544903559617194,An incumbent's guide to digital disruption,0.3187773743733552,Building a digital-banking business,0.30438562788540635,Organizing for digital acceleration: Making a two-speed IT operating model work,0.2993262738617967
52,The incestuous relations among containers orchestration tools,6102826385978742696,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,0.40238171663651506,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,0.3368109463258398,Docker 1.12: Now with Built-in Orchestration!,0.3196389179847049,Docker Swarm,0.3143658877294072,Your Docker Agenda for April,0.29271106093806754
53,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,809601605585939618,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,0.5774392548354029,How to Install and Use the Linux Bash Shell on Windows 10,0.5688548112142694,Bash on Ubuntu on Windows - Download Now!,0.5569352333613636,Introducing Docker for Windows Server 2016 - Docker Blog,0.45179820584077013,Microsoft's mobile problem may not be a problem at all,0.4452810299736086
54,Behind Facebook Messenger's plan to be an app platform,8742078838645536785,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,0.3666409775639455,"Facebook sends a loud message about Messenger bots, but will we hear it?",0.34160412718790806,Bots won't replace apps. Better apps will replace apps.,0.3220183807576653,2016 will be the year of conversational commerce - Chris Messina,0.31860345527951806,"Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",0.31827466571419527
55,Google's Schmidt Says Computers Not a Threat to Humans or Jobs,-1802980374508081539,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",0.243808532967095,'Machine learning' is a revolution as big as the internet or personal computers,0.2111787679185041,The return of the machinery question,0.2057528450925197,Automation and anxiety,0.1978107362362332,Finding The Meaning Of Artificial Intelligence At Google I/O,0.19143347627703033
56,LukeW | Obvious Always Wins,-6195775145989617417,Perfect Menu for Mobile Apps - UX Planet,0.36384646487863936,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,0.3519882453651464,Mobile marketing statistics 2016,0.20373679983502033,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.20175854542265098,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,0.15166060596817318
57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",-2176468683077766369,Bots won't replace apps. Better apps will replace apps.,0.2816033869572946,98 personal data points that Facebook uses to target ads to you,0.27586061178625076,Why porting an iOS design to Android will not work,0.25769111644777726,Facebook Messenger bots are here and they want to kill apps,0.252334786397046,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,0.2505398126933107
58,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",7973573994178035769,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",0.9999999999999997,Dilma regula Marco Civil e acaba com WhatsApp e Facebook grátis no celular,0.22120112971392006,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,0.20113832525772382,Tendências do Marketing de Conteúdo 2016,0.1981716026687722,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.19338148970559324
59,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",7973573994178035769,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",0.9999999999999997,Dilma regula Marco Civil e acaba com WhatsApp e Facebook grátis no celular,0.22120112971392006,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,0.20113832525772382,Tendências do Marketing de Conteúdo 2016,0.1981716026687722,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.19338148970559324
60,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,-1590585250246572231,Perfect Menu for Mobile Apps - UX Planet,0.37515980901568124,LukeW | Obvious Always Wins,0.3519882453651464,Why porting an iOS design to Android will not work,0.24842079480270313,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.21418732869907153,How to Design a Walkthrough That Users Will Read,0.18336623323053006
61,How to Avoid Building Bad Products with Rapid Validation - Lean Startup Co.,-4662020648308370136,Usability Heuristics for Bots - Chatbots Magazine,0.17574523984260754,Bots won't replace apps. Better apps will replace apps.,0.16877500435816326,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.167487161768859,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.167487161768859,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.16730499640255755
62,5 open-source alternatives to Slack,-4110991218639855802,Slack swips at Skype with video calls and reaction emoji,0.2606180913988457,Slack and Google announce partnership focused on better integrating their services,0.2576656760864927,How people using Slack to organise their grocery lists is helping it grow,0.25167620703456034,Threaded messaging is coming to Slack,0.24916932865003166,"Slack and Uber's parting proves when apps unite, it isn't always a smooth ride",0.24095749592542945
63,IAM best practice guides available now,1964631817676172382,Cloud Identity and Access Management - Google IAM,0.6068456495888647,Snapchat shares security best practices for running on GCP,0.43135587915957335,Centrally manage all your Google Cloud resources with Cloud Resource Manager,0.3566369453968727,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),0.3131108720669929,Google Cloud Platform: The smart person's guide - TechRepublic,0.3032668121118503
64,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals",5156657166068502754,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,0.47018467714347983,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,0.4512157591888747,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",0.40240569066171433,Google Cloud Platform: The smart person's guide - TechRepublic,0.36228505004162254,Analyst: Google's cloud business could cause the stock to soar to over $900,0.3161778015791929
