Id,If you liked,Reccomendation 1,Reccomendation 2,Reccomendation 3,Reccomendation 4,Reccomendation 5
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,Cloud Identity and Access Management - Google IAM,Telegram Bolsters Bot API with New Gaming Functionality,Making email safer with new security warnings in Gmail,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing Style Detection for Google Cloud Vision API
-9081753261356157170,Uso de API's no mercado de serviços financeiros,4 Strategies for Mastering UX in Virtual Reality Games,Google made a huge change to the way Google Maps look,The Future of Digital Banking is Now,MOBILE TIME - Chatbots vão diminuir a força de Apple e Google,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated
-9076501258717815738,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Terça de Dados #11 - Debate sobre a Regulamentação de TI,Gartner Reprint
-9073210245497295284,Number plate recognition with Tensorflow,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Google Cloud collaborates with Kinvey for HIPAA-compliant mobile Backend-as-a-Service,Tensorflow wins,Machine learning is a poor fit for most businesses,Auka brings Google Cloud-powered banking to Europe
-9071883412530082330,Singapore bank wants you to talk to its chatbot to get your banking done,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",Accenture and Adboe team on customer enegagement,"The new, scary face of auto insurance",Cafeteria compra item de Pokémon Go para aumentar movimento - e funciona
-9064100704535292718,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Announcing .NET Core 1.0,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Chrome DevTools - Console API Reference
-9056114023474725450,Acquia Engage 2016: Day One,The investment case for employing a Drupal core contributor - Dries Buytaert,Release Day: Extend Drupal 8 with Plugins,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal 8.1.0 is now available,A plan for media management in Drupal 8
-9055044275358686874,Accept questions from your audience when presenting in Google Slides,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Staying one step ahead at Pixar: An interview with Ed Catmull,7 lessons about finding the work you were meant to do,Inception (2010),Pimp My Pitch: como fazer um Pitch poderoso
-9050450867630628092,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,10 Simple Habits of Insanely Productive People,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac
-9041823059579281174,Free online Game AI Classes - Apex Game Tools,How Google's AI paved the way for the next generation of bots,Nvidia announces a supercomputer aimed at deep learning and AI,Google Cloud Status,Meet the man behind the rise of bots and our AI-driven future,Conferência discutirá principais temas dentro do mundo de inovação em serviços financeiros - Startupi
-9039021554659316935,Concurso Literário Leia Mulheres + Sweek | Sweek,Google's Tensor Processing Unit explained: this is what the future of computing looks like,Asus ready to take bite of 'Pi' market with Tinker micro PC,Feito por Elas #01 Agnieszka Holland | AntiCast,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Artificial Intelligence Software Is Booming. But Why Now?
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,Graph-powered Machine Learning at Google,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Probabilistic Programming,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
-9028990334396397584,Xamarin for Everyone,Google and Rackspace co-develop open server architecture based on new IBM POWER9 hardware,Solidity Available in Visual Studio - Ethereum Blog,CoreOS's rkt Container Engine Hits 1.0,"No dia das mães, Avon lança campanha com mãe de jovem gay","Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7"
-9020955625521881630,KFC chinês adota robô que escaneia clientes para sugerir menu - Startupi,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true",Asus ready to take bite of 'Pi' market with Tinker micro PC,"STEMTera, uma protoboard com Arduino Uno embutido",Google's Tensor Processing Unit explained: this is what the future of computing looks like,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Governo define cronograma para plano nacional de Internet das Coisas,Taco Bell chega ao Brasil no segundo semestre desse ano,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-9019233957195913605,Berners-Lee quer criar outra Web,Programming by poking: why MIT stopped teaching SICP,Anti-If: The missing patterns,It's The Future,Clean Coder Blog,Live asynchronously.
-8996656559398843485,Esse bot do Facebook Messenger te ajuda a estudar para o ENEM,Telegram Bolsters Bot API with New Gaming Functionality,Inteligência artificial do Google é capaz de fazer leitura labial | Google Discovery,Terms Aggregation in Elastic Search,O RH chega ao board,Duolingo's chatbots help you learn a new language
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,How to augment your career with leadership coaching,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Investimentos em coaching e mentoring aumentam nas empresas,Qual é o valor da área de T&D na sua empresa?
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,Making email safer with new security warnings in Gmail,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Google releases keyboard for the iPhone with built-in search features,Telegram Bolsters Bot API with New Gaming Functionality
-8984665034930053829,An Introduction to Elasticsearch Aggregations,Big data's 'streetlight effect': where and how we look affects what we see,Graph Capabilities with the Elastic Stack,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google Cloud Status,Firebase and Google Cloud: better together
-8971085667828564532,Introducing online resizing of Google Cloud Persistent Disks without downtime,Docker Cleanup Scripts Comparison,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Is About to Supercharge Its TensorFlow Open Source AI,What's the Best Cloud? Probably GCP
-8968101771604200516,Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Brasil pode superar EUA em potencial para atuação de fintechs,5 Asian Trends for 2017,Nubank e Goldman fecham parceria de R$ 200 milhões,My Approach to Mobile Accessibility Testing - Ministry of Testing
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Get ready for Google I/O 2016,Apache Spark 2.0 Preview: Machine Learning Model Persistence,New settings for 2-Step Verification,Automate deployments and traffic splitting with the App Engine Admin API,Are Chatbots Really The Future Of Web Design?
-8962700386317589038,Bash on Ubuntu on Windows - Download Now!,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Android Studio 2.0 | Android Developers Blog,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Planned Death,Introducing Ask a Female Engineer
-8954346068661072425,The technology behind preview photos,Lady Gaga's startup Backplane burns out and sells assets,"The inside story of how Amazon created Echo, the next billion dollar business no one saw coming",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Advanced Android Espresso,Manage Client-Side Packages with Bower - ASP.NET documentation
-8950763842769120954,Mobify report reveals impact of mobile website speed,Falling for Web Components,"Don't Start Big, Start a Little Snowball",Things you probably didn't know you could do with Chrome's Developer Console,Black Friday salva o ano do e-commerce,Dafiti registra alto crescimento no 1º semestre de 2016
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Mobile Time,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,This is the scientific reason we're addicted to our phones,Especial: O papel dos grandes provedores de TI na Rio 2016,Adobe quer potencializar área de marketing digital - Meio & Mensagem
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,"STEMTera, uma protoboard com Arduino Uno embutido",Asus ready to take bite of 'Pi' market with Tinker micro PC,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
-8947720860550700506,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Blaise Agüera y Arcas: How computers are learning to be creative,Carrefour começa a operar e-commerce no Brasil | EXAME.com,The Difference Between Sympathy And Empathy - Expanded Consciousness,Five things to include in your digital transformation playbook
-8942026248671582808,German insurance startup Clark closes €13.2M Series A,Deck describing how MSFT plans to use Linkedin,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Cognitive Services-Intelligence Applications | Microsoft Azure,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,AI Revolution 101 - AI Revolution
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Governments vs Bitcoin: A Fight For Control,How We Migrated Our Backend to Spring Boot in 3 Weeks - Stormpath User Identity API,Paragraphs,"The Three R's of Enterprise Security: Rotate, Repave, and Repair - Built to Adapt",One year as a Data Scientist at Stack Overflow
-8937070974333045193,Adopting Open Source Development Processes in Corporate IT,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Webinário gratuito ""Como analisar um AWR Report""",Trends in Version Control Land: Innersourcing,Como a Netshoes se preparou para a Black Friday deste ano
-8934199835393138432,[PayPal] Postos Shell adotam pagamento no smartphone,[Videos] Bill Gross: The single biggest reason why startups succeed,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE,[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
-8933526098329881084,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,"Fresco, sim! - Android Dev BR",Adulterated Objective-C,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
-8913397556833789413,Falling for Web Components,Black Friday salva o ano do e-commerce,Dafiti registra alto crescimento no 1º semestre de 2016,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,X-Men | São Paulo vai receber exposição sobre filmes da saga,Mobify report reveals impact of mobile website speed
-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog","ConstraintLayout, Inside and Out: Part 1",Google now uses machine learning to make reading comics on phones easier,"ConstraintLayout, Inside and Out: Part 2",Sesi oferece curso de LIBRAS com certificação de 40 horas,Visual C++ for Linux Development
-8908991577172785311,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,App do YouTube ganha sistema de bate-papo privado | Google Discovery,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,Can virtual reality revolutionise education?
-8900307211613973542,How Machine Learning Will Change Our Relationship to Food,Generative Models,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Tensorflow wins,Startup aims to use machine learning to make mobile notifications good
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,How Blockchain Technology Can Improve the Insurance Industry,When will AI and NLP actually turn Siri into your best friend?
-8885776096632729273,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,New ways to keep data flowing between your apps and ours,App do YouTube ganha sistema de bate-papo privado | Google Discovery,"Opening Google Docs, Sheets, and Slides files on mobile now easier when you're offline",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,Google moves to replace Flash with HTML5
-8876785823151614444,Physicists have discovered what makes neural networks so extraordinarily powerful,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Meet the man behind the rise of bots and our AI-driven future,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery",Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,AI Revolution 101 - AI Revolution
-8864073373672512525,Vídeo: IntraEmpreendedorismo como Atitude pelos Funcionários e Chefes!,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Veja como funciona o assistente da Adobe que faz edições com comandos de voz
-8863047175241170722,Big data's 'streetlight effect': where and how we look affects what we see,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Uma arquitetura de referência para a Internet das Coisas - Parte 1,The Progress of Web Apps - On the Edge,How We Migrated Our Backend to Spring Boot in 3 Weeks - Stormpath User Identity API,"Hexagonal != Layers

"
-8854146354650101086,"Within a Decade, Retail Banks will be Dead",GE Digital snags ServiceMax for $915 million,Behold.ai launches artificially intelligent medical software to find abnormalities faster,How Blockchain Technology Can Improve the Insurance Industry,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm
-8819557474068526071,Good Software Takes Ten Years. Get Used To it.,'Machine learning' is a revolution as big as the internet or personal computers,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Amazon founder: A.I.'s impact is,Build Zappos like faceted navigation with ElasticSearch
-8815620240581422908,"Agility in the Cloud: Which ""As a Service"" Works for You?",This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Most Interesting APIs in 2016: Cognitive Computing,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Perfect Menu for Mobile Apps - UX Planet,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
-8813724423497152538,Itaú é pioneiro do blockchain,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Blockchain startup R3 cuts fund-raising target to $150 million: source,"Simple rolls out shared bank accounts that work for anyone, including roommates",Google e GFT firmam parceria para testes com foco em blockchain - Startupi
-8801071115335368509,Por que o Uber vem sofrendo tanto prejuízo entre empresas de tecnologia,Gartner Hype Cycle for Digital Marketing and Advertising,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Three Lessons for Design-Driven Success,Gamification - por que somos motivados por mecânicas de jogos - Mochileiro Corporativo,OKR e meta: minha experiência no Runrun.it
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Apple is working on an AI system that wipes the floor with Google and everyone else,Ordering coffee in Italy: the 10 commandments,"Twitter killed Magic Recs, the only useful bot there is",Revolutionize business communication with Kast,"Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY"
-8797444257711529901,"E quando o cliente diz ""Não gostei""?",Humans Can Still Do One Thing Better Than AI,Meet the man behind the rise of bots and our AI-driven future,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,13 Game-changing Artificial Intelligence Startups,New blog from Dries: How should you decouple Drupal?
-8796191278504623694,Object calisthenics: Change the way you code,What's the Version of my Deployed Application? - DZone DevOps,Optimizing the Performance of Vector Drawables - upday devs,Automate Docker with the Remote API and Ruby,Android Studio 2.0 | Android Developers Blog,Post: Just Say mNo to Hungarian Notation
-8781597910014596432,"Primeira cidade inteligente brasileira, equipada com sensores, sistemas e soluções digitais, será desenvolvida por startup - Startupi",5 Internet Trends to Pay Attention to in Late 2016,6 New Tech Gadgets That Will Simplify Your Life in 2017,Economia Colaborativa: a tendência que está mudando o mercado,"Desenvolvendo Android, por onde começar? - Android Dev BR",O deslize da Pepsi ajudou a Pizza Hut e KFC
-8773118241761372618,Visual C++ for Linux Development,Setting Up HTTP(S) Load Balancing,"Android N Developer Preview 2, out today! | Android Developers Blog","Desenvolvendo Android, por onde começar? - Android Dev BR","Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Exploring Java's Hidden Costs
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule,Tensorflow wins
-8762137947059829459,"Google I/O 2016: Develop, Grow & Earn",8 things to expect from Google's biggest event of the year,DeepMind moves to TensorFlow,Revolutionize business communication with Kast,New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released
-8757701761088346244,Promises | Web Fundamentals - Google Developers,The Business Case for Progressive Web Apps,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Prototypal Object-Oriented Programming using JavaScript,The five phases of migrating to Google Cloud Platform,Clickpag agora é Rede Pay
-8742648016180281673,Aposta na inovação,"""Não, você não aceita a homossexualidade ainda...""",Brasileira do rúgbi é pedida em casamento durante premiação,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,O que é liderança? Liderança é fazer a diversidade funcionar.,Estudante de Direito dá lição em colegas após virar piada entre eles
-8734181034726403477,Windows Subsystem for Linux Overview,4 Blockchain Macro Trends: Where to Place Your Bets,Jenkins 2.0 is here!,Dries Buytaert: Advancing Drupal's web services,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Microsoft Build: the 10 most important announcements
-8728075196312712282,Soylent's new drink will replace your breakfast and morning coffee,Firebase Test Lab for Android,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Migrating from Parse to Bluemix,ConstraintLayout - Part 1,Don Tapscott: How the blockchain is changing money and business
-8723568727518869245,The Most Important Push Notification metric - Growth Bug - App World,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,Scott Penrose: Arduino Static Strings,Pury - New Way to Profile Your Android Application,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Tipos de teste com usuários explicados em GIFs
-8723313435347324769,"Shuddle, the Uber-like service for getting your kids around, is shutting down tomorrow","Amazon open-sources its own deep learning software, DSSTNE",The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Generative Models,Graph-powered Machine Learning at Google
-8722526817358894474,VR possibilities at Google I/O 2016: Four things I'm hoping to see,Google IO 2016: A look at how not to run a large event,Introducing Google Consumer Surveys API: Let users of your app create surveys,New settings for 2-Step Verification,Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,How Coca-Cola Is Harvesting Innovation Energy From Startups,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,These Are The 10 Most Purchased Brands in the World,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",The Sweet Way that Gamification Helps M&M's Boost Consumer Engagement - Gamification Co
-8706427875719844202,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Coca-Cola reportedly closes Founders startup incubator,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial intelligence is changing SEO faster than you think
-8700857105739861338,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,Visa lança desafio para startups de tecnologia - Startupi,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up","contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object",Bitcoin In The Time Of Negative Interest Rates
-8680242653057858999,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade",Digital Leadership Is Not an Optional Part of Being a CEO,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Accenture and Adboe team on customer enegagement,Amazon has a huge opportunity in grocery delivery,Digital is all about the people - Chris Skinner's blog
-8677396111092711799,Dasa multiplica lucro em 6 vezes no terceiro trimestre,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"Automatic lays off 28% of its workforce, aims for profitability in 2017",A saga do jovem CEO da Dasa,The omnichannel customer experience is poised to take off in regulated industries,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera
-8669770849634489893,Here's How L'Oréal Plans To Continue Its Digital Innovation,Conselho da SABMiller aceita proposta de compra da AB InBev,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Meet the new Brazilian consumer,Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Automatic lays off 28% of its workforce, aims for profitability in 2017"
-8657415528200615063,WebAssembly Browser Preview,Chrome extension brings Medium's best feature to the whole Web,Infrequently Noted,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,React Native v0.32.0-rc.0 released
-8641360668993633978,Add images to questions and answers in Google Forms,App do YouTube ganha sistema de bate-papo privado | Google Discovery,Support your Gmail users more easily with revamped bounce messages and message headers,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Google moves to replace Flash with HTML5,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor
-8632408281960398473,Adobe CQ/Adobe AEM,Workspace Filter,Configuring OSGi,AEM 6.1 Package Manager Metadata Files,Live Event: Unveiling the GitLab Master Plan,How to Install and Use the Linux Bash Shell on Windows 10
-8627051188605351707,When to make a Git Commit,Seniority,Drupal 8.1.0 is now available,Don't document your code. Code your documentation.,Debugging WordPress: 11 Powerful Tips and Techniques,Hedron: Or my dissatisfaction with local development #Drupal
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,What SWAG will Google I/O 2016 attendees take home?,"Google I/O: Expect A.I., virtual reality",Event Map For Google I/O 2016 Released,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",Google Cloud Datastore gets faster cross-platform API
-8615957592921855596,Shutter Island (2010),Inception (2010),Accept questions from your audience when presenting in Google Slides,"Agile is Dead, Long Live Continuous Delivery - Gradle","IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",The Hateful Eight (2015)
-8615008595949058842,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Using TensorFlow and JupyterHub in Classrooms,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Wide & Deep Learning: Better Together with TensorFlow,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds"
